startphrase,ending,startphrase_lem,ending_lem,labels,qid,xid,simile,negation,intensification,negation all,not all
Last Christmas had all the fun of a clogged toilet,Last Christmas was not fun,Last Christmas have all the fun of a clogged toilet ,Last Christmas be not fun ,0,X225,X225_0,the-of,not,0,neg,TRUE
Last Christmas had all the fun of a night in Vegas,Last Christmas was fun,Last Christmas have all the fun of a night in Vegas ,Last Christmas be fun ,1,X225,X225_1,the-of,0,not,aff,FALSE
His work was as mundane as a timeclock,His work was mundane,His work be as mundane as a timeclock ,His work be mundane ,0,X226,X226_0,as-as,0,not,aff,FALSE
His work was as mundane as jumping over the Grand Canyon,His work was not mundane,His work be as mundane as jumping over the Grand Canyon ,His work be not mundane ,1,X226,X226_1,as-as,not,0,neg,TRUE
The woman's outfit is as celebratory as a Christmas tree,The woman's outfit is very festive.,The woman outfit be as celebratory as a Christmas tree ,The woman outfit be very festive . ,0,X227,X227_0,as-as,0,not,aff,FALSE
The woman's outfit is as celebratory as a bowl of oatmeal,The woman's outfit isn't celebratory at all.,The woman outfit be as celebratory as a bowl of oatmeal ,The woman outfit be not celebratory at all . ,1,X227,X227_1,as-as,not,0,neg,TRUE
The woman exercises as much as a cheetah,The woman exercises a lot.,The woman exercise as much as a cheetah ,The woman exercise a lot . ,0,X228,X228_0,as-as,0,not,aff,FALSE
The woman exercises as much as a sloth,The woman doesn't exercise.,The woman exercise as much as a sloth ,The woman do not exercise . ,1,X228,X228_1,as-as,not,0,neg,TRUE
The woman has the fitness level of a wildebeest,The woman is very fit.,The woman have the fitness level of a wildebeest ,The woman be very fit . ,0,X229,X229_0,the-of,0,not,aff,FALSE
The woman has the fitness level of a snail,The woman isn't fit.,The woman have the fitness level of a snail ,The woman be not fit . ,1,X229,X229_1,the-of,not,0,neg,TRUE
The man was as creepy as a beetle,he was gross,The man be as creepy as a beetle ,he be gross ,0,X230,X230_0,as-as,0,0,aff,FALSE
The man was as creepy as a bunny rabbit,he was cute,The man be as creepy as a bunny rabbit ,he be cute ,1,X230,X230_1,as-as,0,0,aff,FALSE
The pool was as deep as a philosopher,it had depth,The pool be as deep as a philosopher ,it have depth ,0,X231,X231_0,as-as,0,0,aff,FALSE
The pool was as deep as a mud puddle,it was shallow,The pool be as deep as a mud puddle ,it be shallow ,1,X231,X231_1,as-as,0,0,aff,FALSE
The camera was as advanced as an AP student,it was complex,The camera be as advanced as an AP student ,it be complex ,0,X232,X232_0,as-as,0,0,aff,FALSE
The camera was as advanced as a dead beetle,it was simple,The camera be as advanced as a dead beetle ,it be simple ,1,X232,X232_1,as-as,0,0,aff,FALSE
Christimas is a sports better certain his 20-leg parlay will hit.,Christmas is hopeful,Christimas be a sport well certain his 20 leg parlay will hit . ,Christmas be hopeful ,0,X233,X233_0,,0,0,aff,FALSE
Christimas is Iceland when it's in the period of 24-hour darkness.,Christmas is depressing,Christimas be Iceland when it be in the period of 24 hour darkness . ,Christmas be depress ,1,X233,X233_1,the-of,0,0,aff,FALSE
The chef has the talent of Olympic medalist Simon Biles.,The chef is talented.,The chef have the talent of Olympic medalist Simon Biles . ,The chef be talented . ,0,X234,X234_0,the-of,0,0,aff,FALSE
The chef has the talent of a no-name actor.,The chef is talentless.,The chef have the talent of a no name actor . ,The chef be talentless . ,1,X234,X234_1,the-of,0,0,aff,FALSE
The advice was the wheels on a bike.,The advice was helpful.,The advice be the wheel on a bike . ,The advice be helpful . ,0,X235,X235_0,,0,0,aff,FALSE
The advice was a vestigial bone.,The advice was useless.,The advice be a vestigial bone . ,The advice be useless . ,1,X235,X235_1,,0,0,aff,FALSE
His wit was as sharp as a toasted marshmallow,He was not witty.,His wit be as sharp as a toasted marshmallow ,He be not witty . ,0,X236,X236_0,as-as,not,0,neg,TRUE
His wit was as sharp as the point of a blade,He was quite witty.,His wit be as sharp as the point of a blade ,He be quite witty . ,1,X236,X236_1,as-as,0,not,aff,FALSE
Her boss was as rich as Daddy Warbucks.,Her boss was very rich.,Her bos be as rich as Daddy Warbucks . ,Her bos be very rich . ,0,X237,X237_0,as-as,0,as as,aff,FALSE
Her boss was as rich as a random roadside person selling oranges.,Her boss was very poor.,Her bos be as rich as a random roadside person sell orange . ,Her bos be very poor . ,1,X237,X237_1,as-as,as as,0,aff,FALSE
The Christmas tree was as beautiful as the sparkling stars in the sky.,The Christmas tree was beautiful.,The Christmas tree be as beautiful as the sparkle star in the sky . ,The Christmas tree be beautiful . ,0,X238,X238_0,as-as,0,as as,aff,FALSE
The Christmas tree was as beautiful as a house that has been toilet papered by random teenagers.,The Christmas tree was ugly.,The Christmas tree be as beautiful as a house that have be toilet paper by random teenager . ,The Christmas tree be ugly . ,1,X238,X238_1,as-as,as as,0,aff,FALSE
The child was as fussy as a backyard BBQ,The child was very laidback.,The child be as fussy as a backyard BBQ ,The child be very laidback . ,0,X239,X239_0,as-as,as as,0,aff,FALSE
The child was as fussy as a black tie wedding,The child was very fussy.,The child be as fussy as a black tie wedding ,The child be very fussy . ,1,X239,X239_1,as-as,0,as as,aff,FALSE
The event was as casual as a picnic in the park,The event was very casual.,The event be as casual as a picnic in the park ,The event be very casual . ,0,X240,X240_0,as-as,0,as as,aff,FALSE
The event was as casual as a Michelin starred meal,The event was very fancy.,The event be as casual as a Michelin star meal ,The event be very fancy . ,1,X240,X240_1,as-as,as as,0,aff,FALSE
The woman's dress had the color of a burst of confetti,The woman's dress was very colorful.,The woman dress have the color of a burst of confetti ,The woman dress be very colorful . ,0,X241,X241_0,the-of,0,0,aff,FALSE
The woman's dress had the color of a white collar office setting,The woman's dress was very plain.,The woman dress have the color of a white collar office setting ,The woman dress be very plain . ,1,X241,X241_1,the-of,0,0,aff,FALSE
I'm sharp as a knife,I'm sharp,I be sharp as a knife ,I be sharp ,0,X242,X242_0,as,0,not,aff,FALSE
I'm sharp as a pillow,I'm not sharp,I be sharp as a pillow ,I be not sharp ,1,X242,X242_1,as,not,0,neg,TRUE
I'm under as much pressure as the bottom of the ocean,I'm under lots of pressure,I be under as much pressure as the bottom of the ocean ,I be under lot of pressure ,0,X243,X243_0,as-as,0,0,aff,FALSE
I'm under as much pressure as a light breeze,I'm under barely any pressure at all,I be under as much pressure as a light breeze ,I be under barely any pressure at all ,1,X243,X243_1,as-as,0,0,aff,FALSE
I'm as centered as a bullseye,I'm centered,I be as center as a bullseye ,I be centered ,0,X244,X244_0,as-as,0,not,aff,FALSE
I'm as centered as a border,"I'm all the way to the side, and not centered",I be as center as a border ,I be all the way to the side and not center ,1,X244,X244_1,as-as,not,0,neg,TRUE
The snow was deep like a hole.,The snow was deep.,The snow be deep like a hole . ,The snow be deep . ,0,X245,X245_0,like,0,not,aff,FALSE
The snow was deep like a puddle.,The snow wasn't deep.,The snow be deep like a puddle . ,The snow be not deep . ,1,X245,X245_1,like,not,0,neg,TRUE
He was funny like a comedian.,He was very funny.,He be funny like a comedian . ,He be very funny . ,0,X246,X246_0,like,0,not,aff,FALSE
He was funny like a professor.,He wasn't funny.,He be funny like a professor . ,He be not funny . ,1,X246,X246_1,like,not,0,neg,TRUE
It was wet like water.,It was very wet.,It be wet like water . ,It be very wet . ,0,X247,X247_0,like,0,not,aff,FALSE
It was wet like sand.,It wasn't wet at all.,It be wet like sand . ,It be not wet at all . ,1,X247,X247_1,like,not,0,neg,TRUE
The knife was as sharp as an honor roll student,it was really pointy,The knife be as sharp as an honor roll student ,it be really pointy ,0,X248,X248_0,as-as,0,0,aff,FALSE
The knife was as sharp as a bowl of jello,it was dull,The knife be as sharp as a bowl of jello ,it be dull ,1,X248,X248_1,as-as,0,0,aff,FALSE
The gate was as strong as Hercules,it was sturdy,The gate be as strong as Hercules ,it be sturdy ,0,X249,X249_0,as-as,0,0,aff,FALSE
The gate was as strong as a wet burger wrapper,it was weak,The gate be as strong as a wet burger wrapper ,it be weak ,1,X249,X249_1,as-as,0,0,aff,FALSE
The beach was as pretty as a picture,it was gorgeous,The beach be as pretty as a picture ,it be gorgeous ,0,X250,X250_0,as-as,0,0,aff,FALSE
The beach was as pretty as a dead wolf,it was hideous,The beach be as pretty as a dead wolf ,it be hideous ,1,X250,X250_1,as-as,0,0,aff,FALSE
The bus driver was A racer,The bus driver drove very fast,The bus driver be A racer ,The bus driver drive very fast ,0,X251,X251_0,,0,0,aff,FALSE
The bus driver was A grandma,The bus driver drove too slowly,The bus driver be A grandma ,The bus driver drive too slowly ,1,X251,X251_1,,0,0,aff,FALSE
The tires were as a Blowfish,The tires were filled up with air,The tire be as a Blowfish ,The tire be fill up with air ,0,X252,X252_0,as,0,0,aff,FALSE
The tires were as a A lifeless rosebud,The tires were withered,The tire be as a A lifeless rosebud ,The tire be wither ,1,X252,X252_1,as,0,0,aff,FALSE
The apple was As a rose,The apple was fresh,The apple be As a rise ,The apple be fresh ,0,X253,X253_0,as,0,0,aff,FALSE
The apple was As a ball of decay,The apple was rotten,The apple be As a ball of decay ,The apple be rotten ,1,X253,X253_1,as,0,0,aff,FALSE
The scientist is bright as A lightbulb,The scientist is smart,The scientist be bright as A lightbulb ,The scientist be smart ,0,X254,X254_0,as,0,0,aff,FALSE
The scientist is bright as A burnt waffle,The scientist is dumb,The scientist be bright as A burnt waffle ,The scientist be dumb ,1,X254,X254_1,as,0,0,aff,FALSE
That kid runs as fast as a horse,The kid is fast,That kid run as fast as a horse ,The kid be fast ,0,X255,X255_0,as-as,0,as as,aff,FALSE
That kid runs as fast as a snail,The kid is slow,That kid run as fast as a snail ,The kid be slow ,1,X255,X255_1,as-as,as as,0,aff,FALSE
The water is as hot as an ice cube,The water is really cold,The water be as hot as an ice cube ,The water be really cold ,0,X256,X256_0,as-as,as as,0,aff,FALSE
The water is as hot as the sun,The water is really hot,The water be as hot as the sun ,The water be really hot ,1,X256,X256_1,as-as,0,as as,aff,FALSE
My ingrown toenail has the pain rating of an elephant dying from terminal cancer,My ingrown toenail hurts really bad,My ingrown toenail have the pain rating of an elephant dying from terminal cancer ,My ingrown toenail hurt really bad ,0,X257,X257_0,the-of,0,not,aff,FALSE
My ingrown toenail has the pain rating of a snail attacking my foot,My ingrown toenail doesn't hurt that much,My ingrown toenail have the pain rating of a snail attack my foot ,My ingrown toenail do not hurt that much ,1,X257,X257_1,the-of,not,0,neg,TRUE
My brother is the epitome of a fun-filled day at Waterworld,My brother is an awesome person,My brother be the epitome of a fun fill day at Waterworld ,My brother be an awesome person ,0,X258,X258_0,the-of,0,0,aff,FALSE
My brother is the epitome of a mentally-driven mantis attacked by a killer wasp,My brother is hard to deal with,My brother be the epitome of a mentally driven mantis attack by a killer wasp ,My brother be hard to deal with ,1,X258,X258_1,the-of,0,0,aff,FALSE
My eyesight is an eyepiece strengthened to a million,My eyesight is really good,My eyesight be an eyepiece strengthen to a million ,My eyesight be really good ,0,X259,X259_0,,0,0,aff,FALSE
My eyesight is roadkill shot and killed some more,My eyesight is really horrible,My eyesight be roadkill shot and kill some more ,My eyesight be really horrible ,1,X259,X259_1,,0,0,aff,FALSE
The baby is a siren,The baby is loud.,The baby be a siren ,The baby be loud . ,0,X260,X260_0,,0,0,aff,FALSE
The baby is a mouse,The baby is quiet.,The baby be a mouse ,The baby be quiet . ,1,X260,X260_1,,0,0,aff,FALSE
The cookies are hockey pucks,The cookies are hard.,The cooky be hockey puck ,The cooky be hard . ,0,X261,X261_0,,0,0,aff,FALSE
